granule,exit_code,container,job_stopped,logstream
S2A_MSIL1C_20200710T021351_N0209_R060_T51NYE_20200710T035545,1,arn:aws:ecs:us-west-2:018923174646:container-instance/33c5ee92-45da-4dbb-850a-4beba98dde92,2020-07-28 23:28:34.483,SentinelTaskBatchJobDE3-581008467128b6c/default/284c5586-e4d5-4b93-ac87-398a63b58a0f
"S2A_MSIL1C_20200710T033541_N0209_R061_T47PMK_20200710T063507,S2A_MSIL1C_20200710T033541_N0209_R061_T47PMK_20200710T071106",1,arn:aws:ecs:us-west-2:018923174646:container-instance/adfd08e1-42de-43cf-8f7e-904571a821e1,2020-07-28 23:35:57.982,SentinelTaskBatchJobDE3-581008467128b6c/default/3f03b814-1aa3-4407-aa15-bb2e9bacf2c6
"S2A_MSIL1C_20200710T033541_N0209_R061_T47PML_20200710T063507,S2A_MSIL1C_20200710T033541_N0209_R061_T47PML_20200710T071106",1,arn:aws:ecs:us-west-2:018923174646:container-instance/ab1084e5-aaeb-45d9-b63c-cef4b6fd7cdf,2020-07-28 23:35:42.227,SentinelTaskBatchJobDE3-581008467128b6c/default/47221cf9-5526-405f-a3c8-9f82b0ba86bc
S2A_MSIL1C_20200710T033541_N0209_R061_T47PMN_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/33c5ee92-45da-4dbb-850a-4beba98dde92,2020-07-28 23:26:38.963,SentinelTaskBatchJobDE3-581008467128b6c/default/0f7df7d6-cdac-466b-acf3-3f39dc7f1e9b
S2A_MSIL1C_20200710T033541_N0209_R061_T47PNS_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/f57a9701-5d77-43b6-87e3-8c6bd3fcd767,2020-07-28 23:30:03.322,SentinelTaskBatchJobDE3-581008467128b6c/default/d6c01433-3517-4913-bb06-8868f1674e69
S2A_MSIL1C_20200710T033541_N0209_R061_T48QTL_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/7acd070c-b5f6-47f3-9323-a174cace475a,2020-07-28 23:41:55.494,SentinelTaskBatchJobDE3-581008467128b6c/default/b0a58099-f552-434c-bc95-ecdc8954a909
S2A_MSIL1C_20200710T033541_N0209_R061_T48RXS_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/07b02cb1-7323-4f44-9f0d-9b1f88b93a22,2020-07-28 23:36:57.8,SentinelTaskBatchJobDE3-581008467128b6c/default/058c4fe9-f5e2-4df5-9322-3ffa1a18ab7e
S2A_MSIL1C_20200710T033541_N0209_R061_T48SVE_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/a69cc62f-08e2-40b4-8abe-65f59a6993d2,2020-07-28 23:37:50.314,SentinelTaskBatchJobDE3-581008467128b6c/default/82aa66aa-9cf9-41ae-a6c0-0d085ca3219b
S2A_MSIL1C_20200710T033541_N0209_R061_T49TDE_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/87c3098c-5931-4b3d-b8a9-a07f8190a943,2020-07-28 23:41:56.65,SentinelTaskBatchJobDE3-581008467128b6c/default/690369dd-0b29-4c3f-901f-d860f97ad0a4
"S2A_MSIL1C_20200710T033541_N0209_R061_T51WVT_20200710T052631,S2A_MSIL1C_20200710T033541_N0209_R061_T51WVT_20200710T063507",1,arn:aws:ecs:us-west-2:018923174646:container-instance/99964f78-3c91-4a71-b812-8d3b0a173a6a,2020-07-28 23:51:57.376,SentinelTaskBatchJobDE3-581008467128b6c/default/5179f46a-219e-45eb-b790-4d0142fb60ee
"S2A_MSIL1C_20200710T033541_N0209_R061_T51WXR_20200710T052631,S2A_MSIL1C_20200710T033541_N0209_R061_T51WXR_20200710T063507",1,arn:aws:ecs:us-west-2:018923174646:container-instance/36bfff74-e807-4b33-b322-a21cd17f5c10,2020-07-28 23:51:05.325,SentinelTaskBatchJobDE3-581008467128b6c/default/0540228e-471a-4e67-8958-dd2b5aadd270
S2A_MSIL1C_20200710T033541_N0209_R061_T52WDV_20200710T063507,1,arn:aws:ecs:us-west-2:018923174646:container-instance/a61549e0-3fcd-4474-8432-672f23f6bf9d,2020-07-28 23:56:35.695,SentinelTaskBatchJobDE3-581008467128b6c/default/c764606a-7e5b-4825-b204-a3d682aeedf6
